district,month,no2_mean,ndvi,ndbi,pressure,precip,wind_speed,temp_c
New Delhi,11,0.00015936700017743033,0.31846331248924603,-0.10077299766842132,99003.83972476174,0.008420216183545543,0.7512758753186785,21.02022664757766
North Delhi,11,0.00011853320592626334,0.22718458227355393,-0.026671544280565625,99107.47451673866,0.01044207963951303,0.7619499852014724,20.96486571789484
North East Delhi,11,0.00016617099053770456,0.15441016925633833,-0.061179959069531366,99092.74902607115,0.008542354627072575,0.7662442305334046,20.88215236499218
North West Delhi,11,0.0001226652895391551,0.21082972206684858,-0.039549470817748414,99129.38539010118,0.009967746221460207,0.7511539003072077,21.017270019502007
Shahdara,11,0.0001931833989773131,0.12413574593215684,-0.06055027801114055,99095.58498091494,0.00831644290583558,0.7679944013902115,20.85107826419096
South Delhi,11,0.00011886053113756683,0.40154603731240873,-0.11268610541111036,98799.18421054338,0.006980929292299344,0.7463577853838991,20.937379493421076
South East Delhi,11,0.00016331225301148834,0.2565738154971738,-0.10046949224806973,99018.96581814236,0.006624233437449537,0.7671860784282079,20.915406339736194
South West Delhi,11,0.00010933526385990725,0.2840101578413373,-0.0649764678298068,99128.0230176126,0.009010502139893517,0.6819719970767659,21.11061688899605
West Delhi,11,0.00014330478885877233,0.18405239293572798,-0.05805476247118652,99137.06658521332,0.009846869289727939,0.753779974521267,21.030357868609258
Central Delhi,12,0.00023809551377943977,0.3029497512853077,-0.0706430354282186,99244.49774971807,0.0010084630428953602,1.4994815762035891,15.652223300097035
East Delhi,12,0.0003156573424347768,0.28168759599065746,-0.07463640735405841,99232.22903138906,0.0012482854484035552,1.4966723205813257,15.649830148659476
New Delhi,12,0.0002480802388370917,0.3926873739861683,-0.07299268723551096,99157.13317586793,0.0012986714837934306,1.4667650334381088,15.748642171730182
North Delhi,12,0.00013150559140792293,0.3618524811796348,-0.05461125075303089,99262.52054947885,0.0007140021272948774,1.486138708849461,15.563277891996961
North East Delhi,12,0.0002081355185756934,0.20276069336730915,-0.023997019185983345,99245.71287247821,0.001028870483302058,1.5013015455525927,15.621317638003404
North West Delhi,12,0.00014518429580622562,0.33810072431789273,-0.07103146097385524,99285.96940031748,0.0008827998377704939,1.4464546615058602,15.641174141442207
Shahdara,12,0.000259295174782515,0.1783134217172696,-0.020019134330841664,99248.27514155301,0.0010590360825060029,1.501748150192518,15.612031582201837
South Delhi,12,0.00020595877554500607,0.4820418216383381,-0.07951242024716508,98948.32291965994,0.0018498997236014278,1.461490256638917,15.798805331346955
South East Delhi,12,0.00030308556738261824,0.32802478302479676,-0.06472968809262315,99170.96855678764,0.0017917678096456564,1.4818356108236697,15.764554607080811
South West Delhi,12,0.0001290476595541786,0.40527714421325994,-0.11257247363739321,99286.59842441654,0.0009280302296028933,1.3470800240643896,15.77635377747066
West Delhi,12,0.00018393126542422258,0.2663729004651437,-0.04315137669018078,99293.66425281405,0.0009226635103429642,1.4541535641336063,15.654925933947084
