district,year,month,no2_mean,ndvi,ndbi,pressure,precip,wind_speed,temp_c
Central Delhi,2022,3,0.00013739772096882263,0.30113132825148436,-0.05299150208949128,98500.03645115186,0.00396853376222732,1.645768043289417,24.164351681288224
East Delhi,2022,3,0.00017633466702343507,0.280123481436053,-0.042686954653751594,98490.28367337407,0.003429732597307931,1.6565759222528254,24.10562251285137
New Delhi,2022,3,0.0001230364882919876,0.37790853438535554,-0.055720156201258836,98416.31142377049,0.0041504295794436204,1.5994040929680802,24.39613514814897
North Delhi,2022,3,8.554571082361965e-05,0.40289689944479257,-0.10894595448359784,98520.80909587021,0.0042904127557065,1.6143984778791987,24.05783909370814
North East Delhi,2022,3,0.00012486622308868184,0.222292863567428,-0.01820015733747748,98498.97039549609,0.003576744292824292,1.6630779392701214,24.06858794784506
North West Delhi,2022,3,8.971896659359805e-05,0.327710668299463,-0.0635269696312785,98541.29068521594,0.004216978631884906,1.5694092596567677,24.28497836134551
Shahdara,2022,3,0.0001550337118176744,0.15745881914466592,0.014357826010067392,98502.87065787395,0.003397184017324194,1.6689985877659725,24.045268666632808
South Delhi,2022,3,0.00010281625314821607,0.44056903914703666,-0.06457270797229113,98222.1973861413,0.004045901573138009,1.5953061283026813,24.46046593576142
South East Delhi,2022,3,0.00015635198718896766,0.294347516680063,-0.02991612421813573,98438.28908845165,0.003634375494256707,1.6185602739771794,24.288874965146135
South West Delhi,2022,3,6.978400391820554e-05,0.36205543521529676,-0.05505039599710907,98548.50796971482,0.0029711712543769144,1.4971872069007004,24.643231114110904
West Delhi,2022,3,9.948994043154078e-05,0.24974498889092628,-0.022949093431212864,98549.55870612984,0.004281493694887541,1.576852248028965,24.29658282354353
Central Delhi,2022,4,0.00012101633764707074,0.2907694272930359,-0.027213083459688987,98073.10014132927,0.0017052354582615971,1.5210390956772597,30.67376773334047
East Delhi,2022,4,0.00016116401585078354,0.2923083678839938,-0.03943169064235483,98064.53879501169,0.0025510631514882903,1.5457637158030952,30.61737809820653
New Delhi,2022,4,0.00011788198798960726,0.36787429846363057,-0.05618334558719315,97990.0179565834,0.0016822853585027621,1.5524035943707561,30.998499238846136
North Delhi,2022,4,8.232603642097817e-05,0.2601211193337124,0.020606765631120016,98092.11077563415,0.0006646970160667621,1.4720044385510338,30.60042040073091
North East Delhi,2022,4,0.00011323950020304744,0.22209933996874912,0.0037567772590431257,98072.89398202578,0.0023694663437443917,1.5321662534891487,30.571148475679934
North West Delhi,2022,4,8.6269854354935e-05,0.23259366282127292,0.02438752041173561,98111.04480794273,0.0008925114932093815,1.4966499672514535,30.89538984408324
Shahdara,2022,4,0.0001390886363030004,0.18580301563829602,0.0063834598125174485,98077.03988517533,0.0025794359209162896,1.5347311696667274,30.534994642113134
South Delhi,2022,4,0.0001136890503874387,0.4054061671256301,-0.05537988851374664,97800.70100446249,0.0020042748043097984,1.5926815458134962,31.079661739100857
South East Delhi,2022,4,0.0001496146308574079,0.30134803170652763,-0.03727256057404573,98012.9008942522,0.0021113969802558225,1.5686449617832492,30.867865641154935
South West Delhi,2022,4,7.819074360148385e-05,0.24992578743977203,0.03460159590123741,98117.54380363003,0.0012546043800647209,1.5205594172105223,31.310167989909587
West Delhi,2022,4,9.567320745959691e-05,0.24202473092496155,-0.0048909908945598555,98119.25740808497,0.0009248019043188499,1.50141907586156,30.904882406867102
Central Delhi,2022,5,0.00011236583082594641,0.2866496777389533,-0.004980538528857711,97636.52252315701,0.03323047388384354,1.2458667713756988,32.17502474345008
East Delhi,2022,5,0.00012585951377389588,0.2901696271218777,-0.01793826980461087,97631.83947409013,0.032073744058688514,1.2406129100923826,32.16713024969681
New Delhi,2022,5,0.00010854804684251156,0.35321779443081264,-0.029348316273212917,97547.82739891202,0.028236028499264716,1.0978959407736295,32.57037303499544
North Delhi,2022,5,8.765933094014369e-05,0.247795153267857,0.042569778637375925,97650.32384748336,0.03265582996247353,1.230195981063368,32.2348383845881
North East Delhi,2022,5,0.00010861252962624256,0.21578047022991156,0.02916694250504172,97639.47902072771,0.03342657728357989,1.2592736534983662,32.121941938160376
North West Delhi,2022,5,9.303582064860957e-05,0.22676678409227588,0.04259155851387317,97663.73487523031,0.027110912380883777,1.089486462749152,32.58156040334512
Shahdara,2022,5,0.0001245420757044273,0.18825143316673384,0.035198199514495994,97644.97991942747,0.03339953499669647,1.2673975926508874,32.084064996524035
South Delhi,2022,5,9.203995418606873e-05,0.383197044195978,-0.021563027715232358,97360.81814174553,0.025941080152382816,1.0506222467396145,32.65041508682282
South East Delhi,2022,5,0.00011609986021161639,0.28440048574657134,-0.0035130210829311414,97577.49414197508,0.028272329495464273,1.1663768151735219,32.42217139377391
South West Delhi,2022,5,7.892910989478837e-05,0.24191629032075992,0.05061758511270164,97662.04957404498,0.019477464252855674,0.8440358031593184,33.12826303211824
West Delhi,2022,5,0.00010245022614681168,0.24515248532122888,0.012550644683285001,97672.65004363582,0.027729995485166876,1.1052783661218462,32.56071968120631
Central Delhi,2022,6,9.607143176287484e-05,0.29687776868267607,-0.04884524627883501,97502.24112109709,0.08413020635026024,1.209194238264028,33.33314248877116
East Delhi,2022,6,0.00012258195584348395,0.31099601620720596,-0.08082641991151718,97495.24395421754,0.07759208883600073,1.206655412666031,33.310944321000306
New Delhi,2022,6,0.00010525330952863728,0.37556323822315707,-0.07118310923387218,97420.14827363144,0.08125419873139343,1.3194026474904004,33.64938324759197
North Delhi,2022,6,6.839809827742819e-05,0.26270401225171025,-0.007503712583949139,97518.95124085351,0.09503099376361215,1.1996898584845839,33.341913684856536
North East Delhi,2022,6,8.832516731546487e-05,0.22099651572147935,-0.014818874302836764,97502.90083086821,0.08155080604207034,1.1933369412782358,33.26286933409227
North West Delhi,2022,6,7.608837990159737e-05,0.22114596101829714,0.013248321717784804,97537.19088130089,0.09237626513040355,1.288903423257255,33.62070589102092
Shahdara,2022,6,0.00010680601618744035,0.19567488509130465,-0.010856441416709012,97507.3446573006,0.08035033805579464,1.1837482833456259,33.22834281228165
South Delhi,2022,6,9.694556221440727e-05,0.43772915271782337,-0.09201304403773168,97235.21222688675,0.07168259688045185,1.3750138226424533,33.73865970728491
South East Delhi,2022,6,0.00012254509216551863,0.3161701015751179,-0.061366317684310105,97444.76438833083,0.07028372089342615,1.2750669814151505,33.56783877842014
South West Delhi,2022,6,7.36876045819729e-05,0.2636771472309323,0.008632286569982708,97543.3986192027,0.0924732848203952,1.4396777806278556,33.964255341341016
West Delhi,2022,6,9.013973934285095e-05,0.2331224051938976,-0.01777314008314648,97545.47903923682,0.09108772448439006,1.2842981028438327,33.618420203998085
Central Delhi,2022,7,9.607797525584454e-05,0.30252907861691963,-0.05821244568954647,97653.02472964594,0.19725734198263167,1.7720470022819248,29.428450926379753
East Delhi,2022,7,8.987930580598128e-05,0.2544746227542731,-0.07091193222492123,97646.67880001217,0.19858519063403168,1.7692327558057175,29.46574590779875
